Estación
                                : BILINGURSTH
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°33'38.97'',Longitud :,69°11'22.15'',Altitud :,198 msnm.
Tipo :,EHMA - Hidrológica,Código :,260700
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/02/01,00:00,10.24,0.0
2025/02/01,01:00,10.24,0.0
2025/02/01,02:00,10.26,0.0
2025/02/01,03:00,10.27,0.0
2025/02/01,04:00,10.27,0.0
2025/02/01,05:00,10.27,0.0
2025/02/01,06:00,10.27,0.0
2025/02/01,07:00,10.27,0.0
2025/02/01,08:00,10.25,0.0
2025/02/01,09:00,10.24,0.0
2025/02/01,10:00,10.23,0.0
2025/02/01,11:00,10.19,0.0
2025/02/01,12:00,10.18,0.0
2025/02/01,13:00,10.17,0.0
2025/02/01,14:00,10.14,0.0
2025/02/01,15:00,10.11,0.0
2025/02/01,16:00,10.08,0.0
2025/02/01,17:00,10.06,0.0
2025/02/01,18:00,10.02,0.0
2025/02/01,19:00,10.01,0.0
2025/02/01,20:00,9.98,0.0
2025/02/01,21:00,9.94,0.0
2025/02/01,22:00,9.93,0.0
2025/02/01,23:00,9.92,0.0
2025/02/02,00:00,9.90,0.0
2025/02/02,01:00,9.92,0.0
2025/02/02,02:00,9.91,0.0
2025/02/02,03:00,9.93,0.0
2025/02/02,04:00,9.93,0.0
2025/02/02,05:00,9.94,0.0
2025/02/02,06:00,9.94,0.0
2025/02/02,07:00,9.94,0.0
2025/02/02,08:00,9.94,0.0
2025/02/02,09:00,9.94,0.0
2025/02/02,10:00,9.96,0.0
2025/02/02,11:00,9.94,0.0
2025/02/02,12:00,9.94,0.0
2025/02/02,13:00,9.96,0.0
2025/02/02,14:00,9.94,0.0
2025/02/02,15:00,9.94,0.0
2025/02/02,16:00,9.96,0.0
2025/02/02,17:00,9.94,0.0
2025/02/02,18:00,9.94,0.0
2025/02/02,19:00,9.93,0.0
2025/02/02,20:00,9.92,0.0
2025/02/02,21:00,S/D,S/D
2025/02/02,22:00,9.86,0.0
2025/02/02,23:00,9.85,0.0
2025/02/03,00:00,9.82,0.0
2025/02/03,01:00,9.80,0.4
2025/02/03,02:00,9.76,0.8
2025/02/03,03:00,9.77,0.7
2025/02/03,04:00,9.75,0.0
2025/02/03,05:00,9.73,0.0
2025/02/03,06:00,9.71,0.0
2025/02/03,07:00,9.68,0.9
2025/02/03,08:00,9.67,0.0
2025/02/03,09:00,9.64,0.0
2025/02/03,10:00,9.61,0.0
2025/02/03,11:00,9.61,0.0
2025/02/03,12:00,9.59,0.0
2025/02/03,13:00,9.58,0.0
2025/02/03,14:00,9.57,0.0
2025/02/03,15:00,9.56,0.0
2025/02/03,16:00,9.55,0.0
2025/02/03,17:00,9.55,0.0
2025/02/03,18:00,9.55,0.0
2025/02/03,19:00,9.57,20.6
2025/02/03,20:00,9.58,7.4
2025/02/03,21:00,9.59,14.0
2025/02/03,22:00,9.60,3.9
2025/02/03,23:00,9.60,3.9
2025/02/04,00:00,9.63,3.9
2025/02/04,01:00,9.64,4.9
2025/02/04,02:00,9.67,3.0
2025/02/04,03:00,9.68,0.7
2025/02/04,04:00,9.71,0.4
2025/02/04,05:00,9.73,0.0
2025/02/04,06:00,9.76,0.0
2025/02/04,07:00,9.80,0.0
2025/02/04,08:00,9.85,0.0
2025/02/04,09:00,9.90,0.0
2025/02/04,10:00,9.96,0.0
2025/02/04,11:00,10.02,0.0
2025/02/04,12:00,10.08,0.0
2025/02/04,13:00,10.13,0.0
2025/02/04,14:00,10.19,0.0
2025/02/04,15:00,10.26,0.0
2025/02/04,16:00,10.31,0.0
2025/02/04,17:00,10.37,0.0
2025/02/04,18:00,10.42,0.0
2025/02/04,19:00,10.45,0.0
