Estación
                                : PUERTO MALDONADO
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'14.28'',Longitud :,69°12'31.68'',Altitud :,209 msnm.
Tipo :,EMA - Meteorológica,Código :,112279
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/02/01,00:00,24.0,0.0,94,27.6,0.4
2025/02/01,01:00,23.7,0.0,95,30.4,0.7
2025/02/01,02:00,23.6,0.0,96,30.2,0.7
2025/02/01,03:00,23.4,0.0,96,33.4,0.5
2025/02/01,04:00,23.4,0.0,96,33.7,1.0
2025/02/01,05:00,23.4,0.0,96,34.5,1.0
2025/02/01,06:00,23.5,0.0,95,34.5,1.2
2025/02/01,07:00,24.4,0.0,93,33,1.3
2025/02/01,08:00,26.7,0.0,86,32.3,1.7
2025/02/01,09:00,28.5,0.0,80,31.3,2.7
2025/02/01,10:00,29.9,0.0,75,30.7,2.9
2025/02/01,11:00,30.6,0.0,73,31.3,2.3
2025/02/01,12:00,31.5,0.0,70,31.3,1.8
2025/02/01,13:00,30.8,0.7,74,31.2,1.6
2025/02/01,14:00,30.5,0.2,75,25.3,2.2
2025/02/01,15:00,29.4,0.0,79,23.8,2.5
2025/02/01,16:00,31.4,0.0,73,29.8,0.9
2025/02/01,17:00,31.7,0.0,72,32.7,0.4
2025/02/01,18:00,30.0,0.0,78,35.9,0.4
2025/02/01,19:00,28.4,0.0,84,2,0.4
2025/02/01,20:00,26.8,0.0,89,34.6,0.0
2025/02/01,21:00,26.1,0.0,93,34.1,0.1
2025/02/01,22:00,25.7,0.0,94,33.5,0.3
2025/02/01,23:00,25.3,0.0,95,32.3,0.1
2025/02/02,00:00,24.9,0.0,95,31.3,0.0
2025/02/02,01:00,24.9,0.0,95,.8,0.0
2025/02/02,02:00,24.8,0.0,94,35.2,0.3
2025/02/02,03:00,24.3,0.0,95,33.1,0.0
2025/02/02,04:00,24.0,0.0,96,S/D,0.0
2025/02/02,05:00,24.0,0.0,97,1.5,0.3
2025/02/02,06:00,23.9,0.0,97,34.4,0.2
2025/02/02,07:00,24.7,0.0,96,32.5,1.0
2025/02/02,08:00,27.0,0.0,87,33.4,2.0
2025/02/02,09:00,28.7,0.0,82,32.9,2.6
2025/02/02,10:00,29.9,0.0,77,32.9,2.4
2025/02/02,11:00,30.6,0.0,75,32.6,2.0
2025/02/02,12:00,30.8,0.0,75,33.2,1.9
2025/02/02,13:00,31.8,0.0,71,31.9,2.5
2025/02/02,14:00,31.7,0.2,73,34.2,2.5
2025/02/02,15:00,32.2,0.0,70,0,2.5
2025/02/02,16:00,30.8,0.0,73,28.6,1.3
2025/02/02,17:00,30.6,0.0,78,30,1.0
2025/02/02,18:00,29.5,0.0,81,33.5,0.4
2025/02/02,19:00,28.2,0.0,85,3.5,0.4
2025/02/02,20:00,28.0,0.0,86,6.9,0.6
2025/02/02,21:00,27.3,0.1,89,7.4,0.9
2025/02/02,22:00,26.8,0.0,92,2.8,0.2
2025/02/02,23:00,26.5,0.0,93,3,0.1
2025/02/03,00:00,26.2,0.2,89,22.4,1.8
2025/02/03,01:00,24.8,0.2,89,19.3,1.3
2025/02/03,02:00,24.4,1.5,94,34.3,3.2
2025/02/03,03:00,24.0,0.8,92,35.7,1.2
2025/02/03,04:00,24.4,0.0,92,15.4,0.4
2025/02/03,05:00,24.2,0.0,94,11.9,0.7
2025/02/03,06:00,24.3,0.0,94,13.4,0.8
2025/02/03,07:00,24.2,1.0,95,7,1.2
2025/02/03,08:00,24.5,0.0,95,26.5,0.5
2025/02/03,09:00,24.8,0.0,94,16.9,1.1
2025/02/03,10:00,25.4,0.0,93,8.2,0.7
2025/02/03,11:00,28.0,0.0,85,32.2,1.0
2025/02/03,12:00,29.0,0.0,81,31.5,1.6
2025/02/03,13:00,29.8,0.0,80,33.5,1.4
2025/02/03,14:00,30.8,0.0,76,31.5,1.5
2025/02/03,15:00,31.5,0.0,73,32.3,2.1
2025/02/03,16:00,31.9,0.0,72,31.8,1.0
2025/02/03,17:00,31.7,0.0,72,33.9,1.2
2025/02/03,18:00,29.3,0.0,79,2.1,1.0
2025/02/03,19:00,23.0,33.8,88,8.4,4.0
2025/02/03,20:00,21.0,14.2,95,9.8,3.8
2025/02/03,21:00,20.9,24.0,95,17.6,1.2
2025/02/03,22:00,20.8,5.5,97,22.7,1.0
2025/02/03,23:00,20.9,4.6,97,33,1.4
2025/02/04,00:00,21.1,3.9,97,32.5,0.9
2025/02/04,01:00,21.4,5.1,97,18.2,2.0
2025/02/04,02:00,21.4,3.6,97,17.3,1.8
2025/02/04,03:00,21.4,0.8,97,4.5,0.4
2025/02/04,04:00,21.5,0.2,97,2,0.4
2025/02/04,05:00,21.5,0.0,97,34.8,0.2
2025/02/04,06:00,21.5,0.0,97,28.1,0.3
2025/02/04,07:00,21.8,0.0,97,16.7,0.1
2025/02/04,08:00,22.5,0.0,95,21.6,0.6
2025/02/04,09:00,23.6,0.0,91,32.6,0.9
2025/02/04,10:00,24.2,0.0,89,31,0.7
2025/02/04,11:00,25.4,0.0,85,24.4,0.7
2025/02/04,12:00,25.8,0.0,86,29.1,0.7
2025/02/04,13:00,26.5,0.0,84,23.4,0.7
2025/02/04,14:00,25.9,0.0,87,35.5,1.5
2025/02/04,15:00,25.8,0.0,87,34.4,1.7
2025/02/04,16:00,25.6,0.0,87,33,1.3
2025/02/04,17:00,25.8,0.0,87,34,1.1
2025/02/04,18:00,25.5,0.0,86,33.6,0.8
2025/02/04,19:00,24.2,0.0,91,.3,0.3
2025/02/04,20:00,23.4,0.0,95,6.1,0.0
2025/02/04,21:00,23.2,0.0,96,3.8,0.5
2025/02/04,22:00,22.9,0.0,95,3.2,0.1
2025/02/04,23:00,22.6,0.0,96,S/D,0.0
2025/02/05,00:00,22.4,0.0,97,22.7,0.2
2025/02/05,01:00,22.2,0.0,97,31.5,0.0
2025/02/05,02:00,22.3,0.0,98,32.7,0.2
2025/02/05,03:00,22.4,0.0,98,S/D,0.0
2025/02/05,04:00,22.6,0.0,98,31.8,0.0
2025/02/05,05:00,22.6,0.0,98,32,0.5
2025/02/05,06:00,22.4,0.0,98,30.1,0.3
2025/02/05,07:00,23.4,0.0,98,29.7,0.4
2025/02/05,08:00,24.8,0.0,89,30.1,0.9
2025/02/05,09:00,26.9,0.0,82,31.9,1.4
2025/02/05,10:00,28.8,0.0,77,31.6,1.2
2025/02/05,11:00,30.1,0.0,72,31.4,1.2
2025/02/05,12:00,30.8,0.0,68,31.3,1.2
2025/02/05,13:00,30.9,0.0,67,31.1,1.1
2025/02/05,14:00,31.7,0.0,65,33.9,0.8
2025/02/05,15:00,31.3,0.0,67,32.6,1.0
2025/02/05,16:00,32.4,0.0,60,30.9,1.3
2025/02/05,17:00,32.0,0.0,62,31.3,1.3
2025/02/05,18:00,29.9,0.0,70,32.7,0.7
2025/02/05,19:00,27.2,0.0,79,32.2,0.4
2025/02/05,20:00,25.8,0.0,84,S/D,0.0
2025/02/05,21:00,25.0,0.0,91,S/D,0.0
2025/02/05,22:00,24.4,0.0,93,34.4,0.2
2025/02/05,23:00,24.6,0.0,91,34.9,1.0
2025/02/06,00:00,24.2,0.0,92,32.3,0.3
2025/02/06,01:00,23.7,0.0,92,31.3,0.3
2025/02/06,02:00,23.7,0.0,94,1.5,0.5
2025/02/06,03:00,23.5,0.0,94,1.9,0.3
2025/02/06,04:00,23.4,0.0,95,1.6,0.4
2025/02/06,05:00,23.3,0.0,95,4.1,0.7
2025/02/06,06:00,23.3,0.0,96,6,0.7
2025/02/06,07:00,24.3,0.0,94,2.4,0.7
2025/02/06,08:00,25.7,0.0,88,35.9,1.5
2025/02/06,09:00,27.4,0.0,84,35.3,1.3
2025/02/06,10:00,28.4,0.0,82,32.9,1.8
2025/02/06,11:00,29.1,0.0,79,31.7,2.1
2025/02/06,12:00,29.1,0.0,79,32.5,2.6
2025/02/06,13:00,30.8,0.0,73,32.3,1.6
2025/02/06,14:00,32.0,0.0,70,32.1,0.8
2025/02/06,15:00,32.5,0.0,68,34.5,0.6
2025/02/06,16:00,32.5,0.0,68,35.5,1.2
2025/02/06,17:00,32.4,0.0,67,31.9,0.8
2025/02/06,18:00,30.6,0.0,74,34.3,0.1
